epoch,train_loss,val_loss,test_loss,train_prec1,val_prec1,test_prec1,train_prec5,val_prec5,test_prec5,best_val_epoch,best_prec1_val,best_test_epoch,best_prec1_test
120,"tensor(0.0789, device='cuda:0')","tensor(0.3450, device='cuda:0')","tensor(0.3703, device='cuda:0')","tensor(97.3178, device='cuda:0')","tensor(90.5000, device='cuda:0')","tensor(89.8100, device='cuda:0')","tensor(99.9933, device='cuda:0')","tensor(99.5600, device='cuda:0')","tensor(99.5300, device='cuda:0')",119,"tensor(90.5000, device='cuda:0')",119,"tensor(89.9600, device='cuda:0')"
121,"tensor(0.0777, device='cuda:0')","tensor(0.3609, device='cuda:0')","tensor(0.3756, device='cuda:0')","tensor(97.2578, device='cuda:0')","tensor(89.6800, device='cuda:0')","tensor(89.6600, device='cuda:0')","tensor(99.9933, device='cuda:0')","tensor(99.5800, device='cuda:0')","tensor(99.5800, device='cuda:0')",119,"tensor(90.5000, device='cuda:0')",119,"tensor(89.9600, device='cuda:0')"
122,"tensor(0.0784, device='cuda:0')","tensor(0.3565, device='cuda:0')","tensor(0.3782, device='cuda:0')","tensor(97.2200, device='cuda:0')","tensor(90.2000, device='cuda:0')","tensor(89.5700, device='cuda:0')","tensor(99.9889, device='cuda:0')","tensor(99.6200, device='cuda:0')","tensor(99.5100, device='cuda:0')",119,"tensor(90.5000, device='cuda:0')",119,"tensor(89.9600, device='cuda:0')"
123,"tensor(0.0745, device='cuda:0')","tensor(0.3413, device='cuda:0')","tensor(0.3646, device='cuda:0')","tensor(97.5378, device='cuda:0')","tensor(90.4200, device='cuda:0')","tensor(89.7900, device='cuda:0')","tensor(99.9933, device='cuda:0')","tensor(99.7400, device='cuda:0')","tensor(99.5900, device='cuda:0')",119,"tensor(90.5000, device='cuda:0')",119,"tensor(89.9600, device='cuda:0')"
124,"tensor(0.0791, device='cuda:0')","tensor(0.3504, device='cuda:0')","tensor(0.3533, device='cuda:0')","tensor(97.3089, device='cuda:0')","tensor(90.3400, device='cuda:0')","tensor(89.9200, device='cuda:0')","tensor(99.9911, device='cuda:0')","tensor(99.5800, device='cuda:0')","tensor(99.6500, device='cuda:0')",119,"tensor(90.5000, device='cuda:0')",119,"tensor(89.9600, device='cuda:0')"
125,"tensor(0.0752, device='cuda:0')","tensor(0.3521, device='cuda:0')","tensor(0.3580, device='cuda:0')","tensor(97.3844, device='cuda:0')","tensor(90.0800, device='cuda:0')","tensor(90.1300, device='cuda:0')","tensor(99.9889, device='cuda:0')","tensor(99.7000, device='cuda:0')","tensor(99.5400, device='cuda:0')",119,"tensor(90.5000, device='cuda:0')",125,"tensor(90.1300, device='cuda:0')"
126,"tensor(0.0714, device='cuda:0')","tensor(0.3721, device='cuda:0')","tensor(0.3813, device='cuda:0')","tensor(97.5911, device='cuda:0')","tensor(90.0400, device='cuda:0')","tensor(89.5500, device='cuda:0')","tensor(99.9978, device='cuda:0')","tensor(99.7800, device='cuda:0')","tensor(99.5700, device='cuda:0')",119,"tensor(90.5000, device='cuda:0')",125,"tensor(90.1300, device='cuda:0')"
127,"tensor(0.0733, device='cuda:0')","tensor(0.3561, device='cuda:0')","tensor(0.3652, device='cuda:0')","tensor(97.4244, device='cuda:0')","tensor(90.2800, device='cuda:0')","tensor(89.9600, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.6200, device='cuda:0')","tensor(99.5900, device='cuda:0')",119,"tensor(90.5000, device='cuda:0')",125,"tensor(90.1300, device='cuda:0')"
128,"tensor(0.0725, device='cuda:0')","tensor(0.3591, device='cuda:0')","tensor(0.3730, device='cuda:0')","tensor(97.5378, device='cuda:0')","tensor(90.1800, device='cuda:0')","tensor(89.8100, device='cuda:0')","tensor(99.9889, device='cuda:0')","tensor(99.6800, device='cuda:0')","tensor(99.6400, device='cuda:0')",119,"tensor(90.5000, device='cuda:0')",125,"tensor(90.1300, device='cuda:0')"
129,"tensor(0.0730, device='cuda:0')","tensor(0.3494, device='cuda:0')","tensor(0.3644, device='cuda:0')","tensor(97.4622, device='cuda:0')","tensor(90.0400, device='cuda:0')","tensor(89.9300, device='cuda:0')","tensor(99.9956, device='cuda:0')","tensor(99.6400, device='cuda:0')","tensor(99.5300, device='cuda:0')",119,"tensor(90.5000, device='cuda:0')",125,"tensor(90.1300, device='cuda:0')"
