epoch,train_loss,val_loss,train_error1,val_error1,train_error5,val_error5
104,"tensor(0.0801, device='cuda:0')","tensor(0.3676, device='cuda:0')","tensor(2.6860, device='cuda:0')","tensor(10.1300, device='cuda:0')","tensor(0.0180, device='cuda:0')","tensor(0.3100, device='cuda:0')"
105,"tensor(0.0772, device='cuda:0')","tensor(0.3696, device='cuda:0')","tensor(2.6040, device='cuda:0')","tensor(10.1600, device='cuda:0')","tensor(0.0200, device='cuda:0')","tensor(0.3400, device='cuda:0')"
106,"tensor(0.0766, device='cuda:0')","tensor(0.3814, device='cuda:0')","tensor(2.5500, device='cuda:0')","tensor(10.4200, device='cuda:0')","tensor(0.0140, device='cuda:0')","tensor(0.3000, device='cuda:0')"
107,"tensor(0.0763, device='cuda:0')","tensor(0.3779, device='cuda:0')","tensor(2.5500, device='cuda:0')","tensor(10.2300, device='cuda:0')","tensor(0.0200, device='cuda:0')","tensor(0.3800, device='cuda:0')"
108,"tensor(0.0745, device='cuda:0')","tensor(0.3739, device='cuda:0')","tensor(2.4860, device='cuda:0')","tensor(10.0100, device='cuda:0')","tensor(0.0140, device='cuda:0')","tensor(0.3300, device='cuda:0')"
109,"tensor(0.0744, device='cuda:0')","tensor(0.3754, device='cuda:0')","tensor(2.4920, device='cuda:0')","tensor(10.1700, device='cuda:0')","tensor(0.0140, device='cuda:0')","tensor(0.3600, device='cuda:0')"
110,"tensor(0.0735, device='cuda:0')","tensor(0.3759, device='cuda:0')","tensor(2.4940, device='cuda:0')","tensor(10.2400, device='cuda:0')","tensor(0.0160, device='cuda:0')","tensor(0.3000, device='cuda:0')"
111,"tensor(0.0716, device='cuda:0')","tensor(0.3828, device='cuda:0')","tensor(2.4800, device='cuda:0')","tensor(10.0700, device='cuda:0')","tensor(0.0180, device='cuda:0')","tensor(0.3600, device='cuda:0')"
112,"tensor(0.0720, device='cuda:0')","tensor(0.3792, device='cuda:0')","tensor(2.3980, device='cuda:0')","tensor(10.0100, device='cuda:0')","tensor(0.0060, device='cuda:0')","tensor(0.3800, device='cuda:0')"
113,"tensor(0.0716, device='cuda:0')","tensor(0.3797, device='cuda:0')","tensor(2.4040, device='cuda:0')","tensor(10.1700, device='cuda:0')","tensor(0.0140, device='cuda:0')","tensor(0.3200, device='cuda:0')"
114,"tensor(0.0694, device='cuda:0')","tensor(0.3897, device='cuda:0')","tensor(2.3200, device='cuda:0')","tensor(10.3900, device='cuda:0')","tensor(0.0180, device='cuda:0')","tensor(0.3800, device='cuda:0')"
115,"tensor(0.0691, device='cuda:0')","tensor(0.3842, device='cuda:0')","tensor(2.3340, device='cuda:0')","tensor(10.1200, device='cuda:0')","tensor(0.0260, device='cuda:0')","tensor(0.3800, device='cuda:0')"
116,"tensor(0.0669, device='cuda:0')","tensor(0.3888, device='cuda:0')","tensor(2.1960, device='cuda:0')","tensor(10.3500, device='cuda:0')","tensor(0.0160, device='cuda:0')","tensor(0.3600, device='cuda:0')"
117,"tensor(0.0696, device='cuda:0')","tensor(0.3825, device='cuda:0')","tensor(2.3220, device='cuda:0')","tensor(10.0500, device='cuda:0')","tensor(0.0220, device='cuda:0')","tensor(0.3800, device='cuda:0')"
118,"tensor(0.0680, device='cuda:0')","tensor(0.3947, device='cuda:0')","tensor(2.2180, device='cuda:0')","tensor(10.3700, device='cuda:0')","tensor(0.0120, device='cuda:0')","tensor(0.3200, device='cuda:0')"
119,"tensor(0.0680, device='cuda:0')","tensor(0.3920, device='cuda:0')","tensor(2.3000, device='cuda:0')","tensor(10.3200, device='cuda:0')","tensor(0.0120, device='cuda:0')","tensor(0.3700, device='cuda:0')"
120,"tensor(0.0668, device='cuda:0')","tensor(0.3964, device='cuda:0')","tensor(2.2060, device='cuda:0')","tensor(10.3600, device='cuda:0')","tensor(0.0120, device='cuda:0')","tensor(0.3400, device='cuda:0')"
121,"tensor(0.0673, device='cuda:0')","tensor(0.4045, device='cuda:0')","tensor(2.2580, device='cuda:0')","tensor(10.5800, device='cuda:0')","tensor(0.0140, device='cuda:0')","tensor(0.3700, device='cuda:0')"
122,"tensor(0.0653, device='cuda:0')","tensor(0.4095, device='cuda:0')","tensor(2.2360, device='cuda:0')","tensor(10.4700, device='cuda:0')","tensor(0.0080, device='cuda:0')","tensor(0.4200, device='cuda:0')"
123,"tensor(0.0595, device='cuda:0')","tensor(0.3928, device='cuda:0')","tensor(1.9880, device='cuda:0')","tensor(10.0900, device='cuda:0')","tensor(0.0100, device='cuda:0')","tensor(0.3700, device='cuda:0')"
